,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_momentum,param_n_iter_no_change,param_solver,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1294,0.14065728187561036,0.013549665772558546,0.0036010265350341795,0.00013198404635288068,tanh,"(9,)",0.3,5000,0.7,100,adam,0.001,"{'activation': 'tanh', 'hidden_layer_sizes': (9,), 'learning_rate_init': 0.3, 'max_iter': 5000, 'momentum': 0.7, 'n_iter_no_change': 100, 'solver': 'adam', 'tol': 0.001}",0.95,1.0,0.975,1.0,1.0,0.985,0.020000000000000018,13
1295,0.23991432189941406,0.05793004627844978,0.0043828487396240234,0.0016081870185306443,tanh,"(9,)",0.3,5000,0.7,100,adam,0.0001,"{'activation': 'tanh', 'hidden_layer_sizes': (9,), 'learning_rate_init': 0.3, 'max_iter': 5000, 'momentum': 0.7, 'n_iter_no_change': 100, 'solver': 'adam', 'tol': 0.0001}",1.0,0.975,1.0,1.0,1.0,0.9949999999999999,0.010000000000000009,1
1296,0.08995838165283203,0.006275756269679436,0.003656005859375,0.00017273833945956064,tanh,"(9,)",0.7,5000,0.1,100,sgd,0.1,"{'activation': 'tanh', 'hidden_layer_sizes': (9,), 'learning_rate_init': 0.7, 'max_iter': 5000, 'momentum': 0.1, 'n_iter_no_change': 100, 'solver': 'sgd', 'tol': 0.1}",0.875,0.925,0.85,0.95,0.925,0.9049999999999999,0.03674234614174768,639
1297,0.10792984962463378,0.003794617545273661,0.003498554229736328,0.0002320214841447749,tanh,"(9,)",0.7,5000,0.1,100,sgd,0.01,"{'activation': 'tanh', 'hidden_layer_sizes': (9,), 'learning_rate_init': 0.7, 'max_iter': 5000, 'momentum': 0.1, 'n_iter_no_change': 100, 'solver': 'sgd', 'tol': 0.01}",0.95,0.925,0.925,0.95,0.925,0.9349999999999999,0.012247448713915848,531
1298,0.23024535179138184,0.008296671901875056,0.0037774085998535157,0.00035382141633208056,tanh,"(9,)",0.7,5000,0.1,100,sgd,0.001,"{'activation': 'tanh', 'hidden_layer_sizes': (9,), 'learning_rate_init': 0.7, 'max_iter': 5000, 'momentum': 0.1, 'n_iter_no_change': 100, 'solver': 'sgd', 'tol': 0.001}",0.95,0.95,0.95,1.0,1.0,0.97,0.024494897427831803,233
1299,0.4725481033325195,0.05407408202787216,0.003828287124633789,0.0006154130451708333,tanh,"(9,)",0.7,5000,0.1,100,sgd,0.0001,"{'activation': 'tanh', 'hidden_layer_sizes': (9,), 'learning_rate_init': 0.7, 'max_iter': 5000, 'momentum': 0.1, 'n_iter_no_change': 100, 'solver': 'sgd', 'tol': 0.0001}",1.0,0.95,0.95,1.0,1.0,0.9800000000000001,0.024494897427831803,74
1300,0.10818276405334473,0.014015014893969531,0.00359344482421875,0.00022522160313181126,tanh,"(9,)",0.7,5000,0.1,100,adam,0.1,"{'activation': 'tanh', 'hidden_layer_sizes': (9,), 'learning_rate_init': 0.7, 'max_iter': 5000, 'momentum': 0.1, 'n_iter_no_change': 100, 'solver': 'adam', 'tol': 0.1}",0.275,0.6,0.975,0.675,0.825,0.6700000000000002,0.23579652245103191,1054
1301,0.12334790229797363,0.012810147433223541,0.0034598827362060545,3.3238115307438744e-05,tanh,"(9,)",0.7,5000,0.1,100,adam,0.01,"{'activation': 'tanh', 'hidden_layer_sizes': (9,), 'learning_rate_init': 0.7, 'max_iter': 5000, 'momentum': 0.1, 'n_iter_no_change': 100, 'solver': 'adam', 'tol': 0.01}",0.95,0.95,0.875,0.975,0.675,0.885,0.11022703842524298,705
1302,0.20952658653259276,0.052217149720018737,0.0035375118255615234,0.00019210334041584598,tanh,"(9,)",0.7,5000,0.1,100,adam,0.001,"{'activation': 'tanh', 'hidden_layer_sizes': (9,), 'learning_rate_init': 0.7, 'max_iter': 5000, 'momentum': 0.1, 'n_iter_no_change': 100, 'solver': 'adam', 'tol': 0.001}",0.95,0.975,0.95,0.75,0.975,0.9199999999999999,0.08573214099741122,580
1303,0.28863940238952634,0.06064434587138291,0.0035748004913330076,0.00013304136127270945,tanh,"(9,)",0.7,5000,0.1,100,adam,0.0001,"{'activation': 'tanh', 'hidden_layer_sizes': (9,), 'learning_rate_init': 0.7, 'max_iter': 5000, 'momentum': 0.1, 'n_iter_no_change': 100, 'solver': 'adam', 'tol': 0.0001}",0.625,0.925,0.85,0.925,0.975,0.86,0.12409673645990857,786
